sadness,joy,fear,disgust,anger,score,label_state
0.055403,0.729993,0.012939,0.016619,0.012851,0.85983,1
0.547923,0.029594,0.239554,0.042086,0.378099,-0.876713,0
0.467556,0.018112,0.562594,0.029574,0.063399,-0.56641,1
0.049188,0.34483,0.010736,0.021663,0.059547,0,1
0.307453,0.066398,0.195232,0.028203,0.090546,0,1
0.181851,0.543298,0.09535,0.031107,0.062978,0.937469,1
0.40605,0.187689,0.076537,0.188748,0.077034,-0.98667,1
0.092685,0.714784,0.147775,0.018229,0.061535,0.82473,1
0.401733,0.158451,0.240112,0.035756,0.092922,-0.596074,1
0.033054,0.760537,0.011781,0.013369,0.019553,0.991135,1
0.103659,0.046894,0.366743,0.072963,0.144289,0,1
0.0266,0.257683,0.110701,0.061268,0.130295,0.979501,1
0.165938,0.426068,0.038763,0.020191,0.122754,-0.734484,1
0.446988,0.025107,0.247794,0.155788,0.441391,-0.827893,0
0.433584,0.111335,0.306193,0.035276,0.132845,-0.859442,1
0.02602,0.656315,0.032417,0.007977,0.01757,0.994748,1
0.846674,0.007056,0.148217,0.135363,0.123905,-0.923895,0
0.462339,0.038688,0.392997,0.122749,0.233559,-0.963935,0
1,0,0.931034,0.931034,1,-0.954131,0
0.338396,0.220323,0.306428,0.032525,0.092539,-0.745417,1
0.761377,0.116913,0.081368,0.027564,0.083158,-0.963268,0
0.017043,0.493859,0.048997,0.018927,0.02021,0.709459,1
0.540809,0.077703,0.082395,0.00714,0.027335,0,1
0.127585,0.763632,0.017703,0.01227,0.032898,0.959961,1
0.148831,0.179551,0.091248,0.074744,0.088473,0,1
0.007904,0.918574,0.001175,0.000675,0.000331,0.971165,1
0.127943,0.770564,0.042786,0.018846,0.028436,0.957253,1
0.06502,0.170982,0.061602,0.024222,0.029285,-0.770934,1
0.246547,0.31893,0.083992,0.030002,0.021032,0.753374,1
0.228754,0.163344,0.147069,0.047532,0.088104,0.63545,1
0.158484,0.58371,0.037876,0.03555,0.052682,0.924008,1
0.770668,0.075988,0.072735,0.067181,0.086212,-0.799017,1
0.813176,0.074568,0.138468,0.008669,0.097778,-0.807401,1
0.278176,0.033189,0.083738,0.16019,0.650954,-0.731287,1
